,url,streetAddress,city,state,zip,neighborhood,lat,long,bed,bath,sq_ft,type,lotSize,yearBuilt,eventDate,eventType,eventPrice,hoaPrice,hoaCurrency,hoaPeriod,stories
62,https://www.trulia.com/p/ca/san-diego/1225-sassafras-st-san-diego-ca-92103--2079689144,1225 Sassafras St,San Diego,CA,92103,Midtown,32.738327188190006,-117.1741097303,3bd,3ba,2187.0,single-family home,5743 sqft,Built in 1980,05/24/2012,Sold,$680K,,,,
63,https://www.trulia.com/p/ca/san-diego/1225-sassafras-st-san-diego-ca-92103--2079689144,1225 Sassafras St,San Diego,CA,92103,Midtown,32.738327188190006,-117.1741097303,3bd,3ba,2187.0,single-family home,5743 sqft,Built in 1980,12/01/2005,Sold,$898K,,,,
64,https://www.trulia.com/p/ca/san-diego/1225-sassafras-st-san-diego-ca-92103--2079689144,1225 Sassafras St,San Diego,CA,92103,Midtown,32.738327188190006,-117.1741097303,3bd,3ba,2187.0,single-family home,5743 sqft,Built in 1980,03/29/2002,Sold,$565K,,,,
65,https://www.trulia.com/p/ca/san-diego/1225-sassafras-st-san-diego-ca-92103--2079689144,1225 Sassafras St,San Diego,CA,92103,Midtown,32.738327188190006,-117.1741097303,3bd,3ba,2187.0,single-family home,5743 sqft,Built in 1980,02/26/2001,Sold,$525K,,,,
66,https://www.trulia.com/p/ca/san-diego/3671-herbert-st-san-diego-ca-92103--2079695473,3671 Herbert St,San Diego,CA,92103,Hillcrest,32.744790351057,-117.14904937594,1bd,1ba,737.0,single-family home,1715 sqft,Built in 1925,07/17/2009,Sold,$450K,,,,
67,https://www.trulia.com/p/ca/san-diego/3671-herbert-st-san-diego-ca-92103--2079695473,3671 Herbert St,San Diego,CA,92103,Hillcrest,32.744790351057,-117.14904937594,1bd,1ba,737.0,single-family home,1715 sqft,Built in 1925,08/04/2006,Sold,$525K,,,,
68,https://www.trulia.com/p/ca/san-diego/3671-herbert-st-san-diego-ca-92103--2079695473,3671 Herbert St,San Diego,CA,92103,Hillcrest,32.744790351057,-117.14904937594,1bd,1ba,737.0,single-family home,1715 sqft,Built in 1925,06/10/2004,Sold,$463K,,,,
69,https://www.trulia.com/p/ca/san-diego/3671-herbert-st-san-diego-ca-92103--2079695473,3671 Herbert St,San Diego,CA,92103,Hillcrest,32.744790351057,-117.14904937594,1bd,1ba,737.0,single-family home,1715 sqft,Built in 1925,09/25/2001,Sold,$299K,,,,
70,https://www.trulia.com/p/ca/san-diego/3671-herbert-st-san-diego-ca-92103--2079695473,3671 Herbert St,San Diego,CA,92103,Hillcrest,32.744790351057,-117.14904937594,1bd,1ba,737.0,single-family home,1715 sqft,Built in 1925,02/26/1999,Sold,$164K,,,,
71,https://www.trulia.com/p/ca/san-diego/1015-21-w-palm-st-san-diego-ca-92103--2208147198,1015-21 W Palm St,San Diego,CA,92103,Midtown,32.734593022481,-117.17171007449,5bd,3ba,3167.0,multi-family,,Built in 1950,11/20/2017,Sold,$1.48M,,,,
72,https://www.trulia.com/p/ca/san-diego/1015-21-w-palm-st-san-diego-ca-92103--2208147198,1015-21 W Palm St,San Diego,CA,92103,Midtown,32.734593022481,-117.17171007449,5bd,3ba,3167.0,multi-family,,Built in 1950,11/13/2014,Sold,$1.25M,,,,
73,https://www.trulia.com/p/ca/san-diego/1015-21-w-palm-st-san-diego-ca-92103--2208147198,1015-21 W Palm St,San Diego,CA,92103,Midtown,32.734593022481,-117.17171007449,5bd,3ba,3167.0,multi-family,,Built in 1950,09/04/2012,Sold,$788K,,,,
74,https://www.trulia.com/p/ca/san-diego/1440-van-buren-ave-san-diego-ca-92103--1016507203,1440 Van Buren Ave,San Diego,CA,92103,University Heights,32.755556146523,-117.15022170984,3bd,3ba,1688.0,single-family home,3856 sqft,Built in 1929,04/28/2010,Sold,$560K,,,,
75,https://www.trulia.com/p/ca/san-diego/1440-van-buren-ave-san-diego-ca-92103--1016507203,1440 Van Buren Ave,San Diego,CA,92103,University Heights,32.755556146523,-117.15022170984,3bd,3ba,1688.0,single-family home,3856 sqft,Built in 1929,11/07/2006,Sold,$695K,,,,
76,https://www.trulia.com/p/ca/san-diego/1440-van-buren-ave-san-diego-ca-92103--1016507203,1440 Van Buren Ave,San Diego,CA,92103,University Heights,32.755556146523,-117.15022170984,3bd,3ba,1688.0,single-family home,3856 sqft,Built in 1929,01/31/2000,Sold,$317K,,,,
77,https://www.trulia.com/p/ca/san-diego/3950-pringle-st-san-diego-ca-92103--2079697610,3950 Pringle St,San Diego,CA,92103,Mission Hills,32.748377069933,-117.17729203376999,3bd,2ba,1503.0,single-family home,2600 sqft,Built in 2000,11/02/2017,Sold,$1.06M,,,,2.0
78,https://www.trulia.com/p/ca/san-diego/3950-pringle-st-san-diego-ca-92103--2079697610,3950 Pringle St,San Diego,CA,92103,Mission Hills,32.748377069933,-117.17729203376999,3bd,2ba,1503.0,single-family home,2600 sqft,Built in 2000,06/22/2015,Sold,$937K,,,,2.0
79,https://www.trulia.com/p/ca/san-diego/3950-pringle-st-san-diego-ca-92103--2079697610,3950 Pringle St,San Diego,CA,92103,Mission Hills,32.748377069933,-117.17729203376999,3bd,2ba,1503.0,single-family home,2600 sqft,Built in 2000,05/11/2011,Sold,$599K,,,,2.0
80,https://www.trulia.com/p/ca/san-diego/3950-pringle-st-san-diego-ca-92103--2079697610,3950 Pringle St,San Diego,CA,92103,Mission Hills,32.748377069933,-117.17729203376999,3bd,2ba,1503.0,single-family home,2600 sqft,Built in 2000,10/14/1994,Sold,$180K,,,,2.0
81,https://www.trulia.com/p/ca/san-diego/337-w-university-ave-a-san-diego-ca-92103--2116269880,337 W University Ave #A,San Diego,CA,92103,Hillcrest,32.748869169476,-117.16696275133002,1bd,1ba,500.0,condo,,Built in 1976,09/17/2014,Sold,$169K,,,,
82,https://www.trulia.com/p/ca/san-diego/3065-curlew-st-san-diego-ca-92103--2079692720,3065 Curlew St,San Diego,CA,92103,Park West,32.737329204756996,-117.16736552931002,3bd,3ba,2592.0,single-family home,,Built in 1978,04/25/2002,Sold,$1.1M,,,,
83,https://www.trulia.com/p/ca/san-diego/3065-curlew-st-san-diego-ca-92103--2079692720,3065 Curlew St,San Diego,CA,92103,Park West,32.737329204756996,-117.16736552931002,3bd,3ba,2592.0,single-family home,,Built in 1978,03/31/1998,Sold,$550K,,,,
84,https://www.trulia.com/p/ca/san-diego/421-27-university-ave-san-diego-ca-92103--2208165315,421-27 University Ave,San Diego,CA,92103,Hillcrest,32.748766941619,-117.16800494779,5bd,4ba,2598.0,multi-family,,Built in 1923,02/14/1997,Sold,$175K,,,,
85,https://www.trulia.com/p/ca/san-diego/1714-w-arbor-dr-san-diego-ca-92103--2116269666,1714 W Arbor Dr,San Diego,CA,92103,Mission Hills,32.754202654923,-117.17896989351001,2bd,1ba,1408.0,single-family home,0.53 acres,Built in 2017,08/04/2016,Sold,$750K,,,,
86,https://www.trulia.com/p/ca/san-diego/1714-w-arbor-dr-san-diego-ca-92103--2116269666,1714 W Arbor Dr,San Diego,CA,92103,Mission Hills,32.754202654923,-117.17896989351001,2bd,1ba,1408.0,single-family home,0.53 acres,Built in 2017,02/13/2013,Sold,$618K,,,,
87,https://www.trulia.com/p/ca/san-diego/1714-w-arbor-dr-san-diego-ca-92103--2116269666,1714 W Arbor Dr,San Diego,CA,92103,Mission Hills,32.754202654923,-117.17896989351001,2bd,1ba,1408.0,single-family home,0.53 acres,Built in 2017,08/26/2002,Sold,$609K,,,,
88,https://www.trulia.com/p/ca/san-diego/1320-puterbaugh-st-san-diego-ca-92103--2079689769,1320 Puterbaugh St,San Diego,CA,92103,Midtown,32.743817047602,-117.17542223334999,3bd,2ba,1496.0,single-family home,5600 sqft,Built in 1932,10/05/2017,Sold,$965K,,,,
89,https://www.trulia.com/p/ca/san-diego/1320-puterbaugh-st-san-diego-ca-92103--2079689769,1320 Puterbaugh St,San Diego,CA,92103,Midtown,32.743817047602,-117.17542223334999,3bd,2ba,1496.0,single-family home,5600 sqft,Built in 1932,03/01/2001,Sold,$506K,,,,
90,https://www.trulia.com/p/ca/san-diego/1320-puterbaugh-st-san-diego-ca-92103--2079689769,1320 Puterbaugh St,San Diego,CA,92103,Midtown,32.743817047602,-117.17542223334999,3bd,2ba,1496.0,single-family home,5600 sqft,Built in 1932,05/31/1995,Sold,$256K,,,,
91,https://www.trulia.com/p/ca/san-diego/2278-san-juan-rd-san-diego-ca-92103--2079691309,2278 San Juan Rd,San Diego,CA,92103,Old Town,32.750970088931,-117.19028698613998,4bd,3ba,2478.0,single-family home,9490 sqft,Built in 1935,05/17/2019,Sold,$1.83M,,,,2.0
92,https://www.trulia.com/p/ca/san-diego/2278-san-juan-rd-san-diego-ca-92103--2079691309,2278 San Juan Rd,San Diego,CA,92103,Old Town,32.750970088931,-117.19028698613998,4bd,3ba,2478.0,single-family home,9490 sqft,Built in 1935,03/28/2018,Sold,$1.65M,,,,2.0
93,https://www.trulia.com/p/ca/san-diego/2278-san-juan-rd-san-diego-ca-92103--2079691309,2278 San Juan Rd,San Diego,CA,92103,Old Town,32.750970088931,-117.19028698613998,4bd,3ba,2478.0,single-family home,9490 sqft,Built in 1935,08/13/1999,Sold,$735K,,,,2.0
