https://www.trulia.com/p/ca/san-diego/3235-marlton-dr-san-diego-ca-92104--2079706005,3235 Marlton Dr,San Diego,CA,92104,South Park,32.727064193763,-117.12478930905,4bd,3ba,2366,single-family home,5100 sqft,Built in 1995,01/11/2013,Sold,$810K,,,,2
https://www.trulia.com/p/ca/san-diego/3235-marlton-dr-san-diego-ca-92104--2079706005,3235 Marlton Dr,San Diego,CA,92104,South Park,32.727064193763,-117.12478930905,4bd,3ba,2366,single-family home,5100 sqft,Built in 1995,07/26/2012,Sold,$505K,,,,2
https://www.trulia.com/p/ca/san-diego/3235-marlton-dr-san-diego-ca-92104--2079706005,3235 Marlton Dr,San Diego,CA,92104,South Park,32.727064193763,-117.12478930905,4bd,3ba,2366,single-family home,5100 sqft,Built in 1995,03/28/1994,Sold,$205K,,,,2
https://www.trulia.com/p/ca/san-diego/3776-31st-st-4-san-diego-ca-92104--2079710692,3776 31st St #4,San Diego,CA,92104,North Park,32.746985783976,-117.12746766669,1bd,1ba,504,condo,6223 sqft,Built in 1981,12/06/2011,Sold,$105K,,,,
https://www.trulia.com/p/ca/san-diego/3776-31st-st-4-san-diego-ca-92104--2079710692,3776 31st St #4,San Diego,CA,92104,North Park,32.746985783976,-117.12746766669,1bd,1ba,504,condo,6223 sqft,Built in 1981,09/28/2011,Sold,$120K,,,,
https://www.trulia.com/p/ca/san-diego/3776-31st-st-4-san-diego-ca-92104--2079710692,3776 31st St #4,San Diego,CA,92104,North Park,32.746985783976,-117.12746766669,1bd,1ba,504,condo,6223 sqft,Built in 1981,04/15/1994,Sold,$45K,,,,
https://www.trulia.com/p/ca/san-diego/2939-laurel-st-403-san-diego-ca-92104--2079704406,2939 Laurel St #403,San Diego,CA,92104,North Park,32.731559980227,-117.13080233478,2bd,2ba,1205,condo,,Built in 1981,07/17/2009,Sold,$325K,,,,
https://www.trulia.com/p/ca/san-diego/2939-laurel-st-403-san-diego-ca-92104--2079704406,2939 Laurel St #403,San Diego,CA,92104,North Park,32.731559980227,-117.13080233478,2bd,2ba,1205,condo,,Built in 1981,11/09/2004,Sold,$450K,,,,
https://www.trulia.com/p/ca/san-diego/2939-laurel-st-403-san-diego-ca-92104--2079704406,2939 Laurel St #403,San Diego,CA,92104,North Park,32.731559980227,-117.13080233478,2bd,2ba,1205,condo,,Built in 1981,11/22/1996,Sold,$114K,,,,
https://www.trulia.com/p/ca/san-diego/2939-laurel-st-403-san-diego-ca-92104--2079704406,2939 Laurel St #403,San Diego,CA,92104,North Park,32.731559980227,-117.13080233478,2bd,2ba,1205,condo,,Built in 1981,10/31/1996,Sold,$90.5K,,,,
https://www.trulia.com/p/ca/san-diego/2939-laurel-st-403-san-diego-ca-92104--2079704406,2939 Laurel St #403,San Diego,CA,92104,North Park,32.731559980227,-117.13080233478,2bd,2ba,1205,condo,,Built in 1981,03/06/1996,Sold,$128K,,,,
https://www.trulia.com/p/ca/san-diego/3258-dwight-st-san-diego-ca-92104--2079706097,3258 Dwight St,San Diego,CA,92104,North Park,32.743938428305,-117.12350406518,2bd,1ba,882,single-family home,,Built in 1943,08/13/1999,Sold,$105K,,,,
https://www.trulia.com/p/ca/san-diego/3710-35th-st-san-diego-ca-92104--2079709762,3710 35th St,San Diego,CA,92104,Cherokee Point,32.746293942217,-117.11833170624,2bd,1ba,660,single-family home,2706 sqft,Built in 1926,12/29/2009,Sold,$228K,,,,
https://www.trulia.com/p/ca/san-diego/4153-florida-st-san-diego-ca-92104--1004188525,4153 Florida St,San Diego,CA,92104,University Heights,32.753165393654,-117.1434147384,12bd,9ba,5816,multi-family,7501 sqft,Built in 1980,08/09/2011,Sold,$1.19M,,,,
https://www.trulia.com/p/ca/san-diego/4153-florida-st-san-diego-ca-92104--1004188525,4153 Florida St,San Diego,CA,92104,University Heights,32.753165393654,-117.1434147384,12bd,9ba,5816,multi-family,7501 sqft,Built in 1980,08/29/2000,Sold,$553K,,,,
https://www.trulia.com/p/ca/san-diego/4153-florida-st-san-diego-ca-92104--1004188525,4153 Florida St,San Diego,CA,92104,University Heights,32.753165393654,-117.1434147384,12bd,9ba,5816,multi-family,7501 sqft,Built in 1980,06/01/1998,Sold,$405K,,,,
https://www.trulia.com/p/ca/san-diego/1811-friedrick-dr-san-diego-ca-92104--1061650278,1811 Friedrick Dr,San Diego,CA,92104,North Park,32.724640985298,-117.11924019496,3bd,1ba,1223,single-family home,6000 sqft,Built in 1956,05/11/2018,Sold,$810K,,,,1
https://www.trulia.com/p/ca/san-diego/1811-friedrick-dr-san-diego-ca-92104--1061650278,1811 Friedrick Dr,San Diego,CA,92104,North Park,32.724640985298,-117.11924019496,3bd,1ba,1223,single-family home,6000 sqft,Built in 1956,02/26/2016,Sold,$650K,,,,1
https://www.trulia.com/p/ca/san-diego/1811-friedrick-dr-san-diego-ca-92104--1061650278,1811 Friedrick Dr,San Diego,CA,92104,North Park,32.724640985298,-117.11924019496,3bd,1ba,1223,single-family home,6000 sqft,Built in 1956,05/03/2007,Sold,$550K,,,,1
https://www.trulia.com/p/ca/san-diego/1811-friedrick-dr-san-diego-ca-92104--1061650278,1811 Friedrick Dr,San Diego,CA,92104,North Park,32.724640985298,-117.11924019496,3bd,1ba,1223,single-family home,6000 sqft,Built in 1956,07/30/2002,Sold,$362K,,,,1
